Carimbo,Idade,Sexo,TempoDocencia,Graduacao,PosGraduacao,Instituicao,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,UsoR,UsoTinkerplots,UsoFathom,UsoExcel,UsoSPSS,UsoCODAP,UsoMinitab,UsoPython,UsoSigmaplot,UsoPSPP,UsoOutros1,Outros1,UsoOutros2,Outros2,UsoOutros3,Outros3
24/11/2023 14:39:51,26,Masculino,0.5,Estatística,Sim,UFPI,5,4,4,4,3,3,4,2,3,3,3,4,4,4,5,4,5,5,5,4,4,4,1,5,4,5,2,5,4,1,1,2,1,1,1,1,1,1,1,Geogebra,,,,
08/12/2023 18:53:43,26,Feminino,2,Licenciatura em Matemática ,Não,Universidade Estadual Vale do Acaraú ,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,2,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,,,,,,
27/11/2023 18:37:51,28,Masculino,0.5,Ciências atuariais e economia,Sim,Universidade Federal de Lavras,5,5,5,3,4,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,5,4,1,5,4,5,3,5,5,1,1,4,1,1,1,5,1,,,,,,,
02/12/2023 13:12:42,29,Masculino,1,Engenharia Elétrica,Não,UFRN,5,1,3,4,3,2,2,3,3,4,3,2,2,2,4,4,4,4,5,3,2,2,1,5,2,4,4,4,1,1,1,3,1,1,1,1,1,1,5,Octave,,,,
29/11/2023 10:09:53,30,Feminino,1,Saúde Coletiva,Não,Universidade Federal do Rio de Janeiro,5,5,5,5,2,5,4,2,5,5,5,1,4,5,4,5,5,5,1,2,1,5,1,5,5,5,5,5,1,1,1,4,3,1,1,1,1,1,3,Tabwin,5,TABNET,5,Google Planilhas
07/12/2023 12:12:31,30,Feminino,1,Matemática ,Sim,USP,4,4,2,4,4,4,2,3,4,4,4,3,3,5,3,4,4,4,5,4,5,3,1,4,2,4,4,4,4,1,1,3,1,1,1,1,1,1,1,Bioestat ,,,,
29/11/2023 12:21:52,30,Masculino,2,Ciências Atmosféricas ,Não,UNIFEI,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,1,1,5,1,1,1,5,2,1,,,,,,
10/12/2023 19:03:24,30,Masculino,2,Licenciatura em Matemática,Não,Trabalho no IFRJ ,5,3,4,3,4,4,4,4,3,3,3,1,4,4,5,5,4,4,3,3,3,5,1,4,4,5,5,5,2,1,1,5,1,1,1,1,,1,5,GeoGebra,,,,
11/12/2023 14:33:27,30,Masculino,5,Licenciatura em Matemática,Sim,UFPA,5,5,5,5,5,5,5,5,5,3,5,2,5,5,5,5,5,5,3,5,3,5,2,5,5,5,5,5,5,1,1,5,2,1,1,3,1,1,,,,,,
29/11/2023 12:14:54,31,Masculino,1,Economia ,Não,Universidade Federal da Paraíba ,5,5,5,5,5,3,5,5,3,3,4,1,5,5,5,5,5,5,5,3,3,5,1,5,2,5,5,5,5,1,1,5,1,1,1,1,1,1,,,,,,
