Genero,Idade,Experiencia,ED1,ED2,ED3,ED4,EE1,EE2,EE3,EE4,IS1,IS2,IS3,CF1,CF2,CF3,CF4,MH1,MH2,MH3,PR1,PR2,PR3,HA1,HA2,HA3,HA4,IC1,IC2,IC3,USO1,USO2,USO3,USO
1,26,6,5,4,4,4,3,3,4,2,3,3,3,4,4,4,5,4,5,5,5,4,4,4,1,5,4,5,2,5,4,1,2,4
0,26,24,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,5,5,4,4,4,4,4,2,5,5,5,5,5,5,1,5,5
1,28,6,5,5,5,3,4,5,4,5,5,5,4,5,5,4,5,4,5,4,5,5,5,4,1,5,4,5,3,5,5,1,4,5
1,29,12,5,1,3,4,3,2,2,3,3,4,3,2,2,2,4,4,4,4,5,3,2,2,1,5,2,4,4,4,5,1,3,5
0,30,12,5,5,5,5,2,5,4,2,5,5,5,1,4,5,4,5,5,5,1,2,1,5,1,5,5,5,5,5,1,3,5,5
0,30,12,4,4,2,4,4,4,2,3,4,4,4,3,3,5,3,4,4,4,5,4,5,3,1,4,2,4,4,4,4,1,3,4
1,30,24,5,5,5,5,5,5,5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,5,5
1,30,24,5,3,4,3,4,4,4,4,3,3,3,1,4,4,5,5,4,4,3,3,3,5,1,4,4,5,5,5,2,5,5,5
1,30,60,5,5,5,5,5,5,5,5,5,3,5,2,5,5,5,5,5,5,3,5,3,5,2,5,5,5,5,5,5,2,5,5
1,31,12,5,5,5,5,5,3,5,5,3,3,4,1,5,5,5,5,5,5,5,3,3,5,1,5,2,5,5,5,5,1,5,5
1,31,12,4,5,4,3,4,3,3,2,3,4,4,2,3,3,4,4,4,4,1,3,2,2,1,5,1,5,3,4,4,1,4,4
0,32,48,5,3,3,3,5,5,5,5,3,3,3,3,5,5,5,5,5,5,3,3,3,5,2,5,5,5,5,5,5,1,1,5
1,32,48,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,3,5,2,5,2,5,5,5,5,5,5,5,5,5
1,32,60,5,3,4,5,3,3,2,3,3,3,3,3,4,5,4,4,4,3,4,5,5,2,1,5,2,4,4,4,4,3,4,4
0,32,96,3,4,4,3,4,3,2,3,5,5,5,1,4,3,5,1,5,3,3,3,1,5,1,5,5,5,5,5,5,3,5,5
0,33,12,4,4,2,3,2,4,1,2,5,5,5,1,2,4,5,4,4,2,2,2,2,2,1,5,2,4,4,3,1,1,5,5
1,33,24,5,4,5,5,5,4,4,5,5,4,5,5,4,5,5,4,5,5,5,4,4,5,2,5,5,5,5,5,3,3,3,3
1,33,36,4,4,4,4,3,2,2,3,4,4,4,3,2,2,4,2,4,3,2,3,3,2,2,4,2,4,3,4,1,1,5,5
1,33,48,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,3,2,1,3,1,3,3,3,3,3,4,1,3,4
0,33,60,5,5,5,5,5,5,5,5,3,5,3,1,5,5,5,5,5,5,3,3,3,5,1,5,5,5,5,5,5,1,2,5
1,33,60,4,3,4,2,4,4,4,4,3,3,3,2,5,4,4,2,3,3,4,3,3,4,1,2,4,5,3,5,5,2,4,5
1,33,60,3,3,5,4,3,3,4,3,4,4,4,1,2,3,3,4,5,3,3,3,3,4,3,3,4,4,2,4,5,2,3,5
0,33,60,4,3,4,4,5,5,5,5,3,3,3,3,5,5,4,4,5,5,1,3,1,4,1,4,4,4,4,4,4,1,2,4
0,33,72,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,2,3,5
0,33,84,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,4,5,5,5,5,5,5,1,1,5
0,33,108,5,5,5,5,4,5,4,4,2,2,2,5,4,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,4,5
0,34,36,5,5,5,5,5,5,5,5,3,3,3,4,5,5,5,5,4,5,4,5,4,5,1,5,5,5,5,5,5,4,5,5
1,34,48,5,3,4,4,4,4,5,4,3,3,3,5,4,5,4,2,4,3,3,5,3,5,2,5,4,5,4,5,5,4,5,5
1,34,60,5,5,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,2,4,2,4,2,5,2,4,5,5,1,5,5,5
1,34,60,5,5,5,5,5,4,5,5,5,3,5,3,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,4,1,4,4
1,34,60,5,3,5,5,4,4,3,4,4,4,3,1,4,2,5,3,3,3,2,2,1,5,1,5,5,5,4,5,5,4,3,5
